stanica1,stanica2,distance,duration
107,126,592.4,100.0
126,127,223.8,16.8
127,128,208.5,15.0
128,129,363.0,26.1
129,130,398.6,28.7
130,131,241.5,19.0
131,132,689.0,56.5
132,133,744.0,90.1
133,134,135.8,32.6
134,135,471.6,47.9
135,136,772.2,71.5
136,137,676.0,62.1
137,138,195.3,14.1
138,139,655.6,47.2
139,140,379.7,27.3
140,117,362.0,32.7
117,118,232.3,23.5
