stanica1,stanica2,distance,duration
132,131,689.0,56.5
131,130,241.5,19.0
130,129,398.6,28.7
129,128,363.0,26.1
128,127,208.5,15.0
127,126,279.8,31.9
126,108,485.0,63.9
108,109,200.0,28.8
109,110,417.7,60.1
