stanica1,stanica2,distance,duration
17,18,786.8,114.0
18,30,3791.2,333.3
30,31,316.5,61.3
31,32,386.4,92.7
32,33,210.7,50.6
33,34,272.1,47.2
34,35,306.8,25.4
35,36,230.0,24.4
36,37,634.9,68.4
37,38,628.0,70.5
38,39,511.3,63.4
39,40,529.3,94.9
40,41,371.4,89.1
41,42,331.3,76.9
42,43,449.6,107.1
43,44,187.7,45.1
44,45,220.5,52.9
45,46,237.7,57.0
