stanica1,stanica2,distance,duration
99,100,300.6,72.2
100,101,284.6,68.3
101,102,253.4,60.8
102,103,228.3,54.8
103,93,491.1,102.6
93,104,673.9,161.7
104,105,445.7,107.0
105,106,148.7,35.7
